Season,PlayerID,PlayerName,Team,GamesPlayed,AtBats,Runs,Hits,HomeRuns,RBIs,StolenBases,Walks,StrikeOuts,BattingAverage,OnBasePercentage,SluggingPercentage,OPS
2012,454560,A.J. Ellis,Los Angeles Dodgers,133.0,423.0,44.0,114,13,52,0,65,107,0.27,0.373,0.414,0.787
2003,150229,A.J. Pierzynski,Minnesota Twins,137.0,487.0,63.0,152,11,74,3,24,55,0.312,0.36,0.464,0.824
2004,150229,A.J. Pierzynski,San Francisco Giants,131.0,471.0,45.0,128,11,77,0,19,27,0.272,0.319,0.41,0.729
2006,150229,A.J. Pierzynski,Chicago White Sox,140.0,509.0,65.0,150,16,64,1,22,72,0.295,0.333,0.436,0.769
2007,150229,A.J. Pierzynski,Chicago White Sox,136.0,472.0,54.0,124,14,50,1,25,66,0.263,0.309,0.403,0.712
2008,150229,A.J. Pierzynski,Chicago White Sox,134.0,534.0,66.0,150,13,60,1,19,71,0.281,0.312,0.416,0.728
2009,150229,A.J. Pierzynski,Chicago White Sox,138.0,504.0,57.0,151,13,49,1,24,52,0.3,0.331,0.425,0.756
2010,150229,A.J. Pierzynski,Chicago White Sox,128.0,474.0,43.0,128,9,56,3,15,39,0.27,0.3,0.388,0.688
2012,150229,A.J. Pierzynski,Chicago White Sox,135.0,479.0,68.0,133,27,77,0,28,78,0.278,0.326,0.501,0.827
2013,150229,A.J. Pierzynski,Texas Rangers,134.0,503.0,48.0,137,17,70,1,11,76,0.272,0.297,0.425,0.722
2015,572041,AJ Pollock,Arizona Diamondbacks,157.0,609.0,111.0,192,20,76,39,53,89,0.315,0.367,0.498,0.865
2020,572041,AJ Pollock,Los Angeles Dodgers,55.0,196.0,30.0,54,16,34,2,12,45,0.276,0.314,0.566,0.88
2022,572041,AJ Pollock,Chicago White Sox,138.0,489.0,61.0,120,14,56,3,32,98,0.245,0.292,0.389,0.681
2002,111213,Aaron Boone,Cincinnati Reds,162.0,606.0,83.0,146,26,87,32,56,111,0.241,0.314,0.439,0.753
2005,111213,Aaron Boone,Cleveland Indians,143.0,511.0,61.0,124,16,60,9,35,92,0.243,0.299,0.378,0.677
2018,543305,Aaron Hicks,New York Yankees,137.0,480.0,90.0,119,27,79,11,90,111,0.248,0.366,0.467,0.833
2020,543305,Aaron Hicks,New York Yankees,54.0,169.0,28.0,38,6,21,4,41,38,0.225,0.379,0.414,0.793
2024,5297,Aaron Hicks,LAA,,,,8,1,5,0,6,23,0.14,0.222,0.193,0.415
2006,431094,Aaron Hill,Toronto Blue Jays,155.0,546.0,70.0,159,6,50,5,42,66,0.291,0.349,0.386,0.735
2007,431094,Aaron Hill,Toronto Blue Jays,160.0,608.0,87.0,177,17,78,4,41,102,0.291,0.333,0.459,0.792
2009,431094,Aaron Hill,Toronto Blue Jays,158.0,682.0,103.0,195,36,108,6,42,98,0.286,0.33,0.499,0.829
2010,431094,Aaron Hill,Toronto Blue Jays,138.0,528.0,70.0,108,26,68,2,41,85,0.205,0.271,0.394,0.665
2012,431094,Aaron Hill,Arizona Diamondbacks,156.0,609.0,93.0,184,26,85,14,52,86,0.302,0.36,0.522,0.882
2014,431094,Aaron Hill,Arizona Diamondbacks,133.0,501.0,52.0,122,10,60,4,28,92,0.244,0.287,0.367,0.654
2017,592450,Aaron Judge,New York Yankees,155.0,542.0,128.0,154,52,114,9,127,208,0.284,0.422,0.627,1.049
2021,592450,Aaron Judge,New York Yankees,148.0,550.0,89.0,158,39,98,6,75,158,0.287,0.373,0.544,0.917
2022,592450,Aaron Judge,New York Yankees,157.0,570.0,133.0,177,62,131,16,111,175,0.311,0.425,0.686,1.111
2024,15640,Aaron Judge,NYY,,,,180,58,144,10,133,171,0.322,0.458,0.701,1.159
2025,15640,Aaron Judge,NYY,,,,76,17,45,4,32,49,0.398,0.487,0.754,1.241
2004,425446,Aaron Miles,Colorado Rockies,134.0,522.0,75.0,153,6,47,12,29,53,0.293,0.329,0.368,0.697
2004,400023,Aaron Rowand,Chicago White Sox,140.0,487.0,94.0,151,24,69,17,30,91,0.31,0.361,0.544,0.905
2005,400023,Aaron Rowand,Chicago White Sox,157.0,578.0,77.0,156,13,69,16,32,116,0.27,0.329,0.407,0.736
2007,400023,Aaron Rowand,Philadelphia Phillies,161.0,612.0,105.0,189,27,89,6,47,119,0.309,0.374,0.515,0.889
2008,400023,Aaron Rowand,San Francisco Giants,152.0,549.0,57.0,149,13,70,2,44,126,0.271,0.339,0.41,0.749
