season,numTeams,rank,stat_gamesPlayed,stat_groundOuts,stat_airOuts,stat_runs,stat_doubles,stat_triples,stat_homeRuns,stat_strikeOuts,stat_baseOnBalls,stat_intentionalWalks,stat_hits,stat_hitByPitch,stat_avg,stat_atBats,stat_obp,stat_slg,stat_ops,stat_caughtStealing,stat_stolenBases,stat_stolenBasePercentage,stat_groundIntoDoublePlay,stat_numberOfPitches,stat_plateAppearances,stat_totalBases,stat_rbi,stat_leftOnBase,stat_sacBunts,stat_sacFlies,stat_babip,stat_groundOutsToAirouts,stat_catchersInterference,stat_atBatsPerHomeRun,team_id,team_name,team_link,player_id,player_fullName,player_link,player_firstName,player_lastName,league_id,league_name,league_link,sport_id,sport_link,sport_abbreviation,position_code,position_name,position_type,position_abbreviation
2022,1,1,148,131,172,73,39,1,9,61,40,1,174,11,.326,533,.382,.454,.836,0,4,1.000,6,2065,589,242,62,226,0,5,.353,0.76,0,59.22,121,New York Mets,/api/v1/teams/121,643446,Jeff McNeil,/api/v1/people/643446,Jeff,McNeil,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,4,Second Base,Infielder,2B
2022,1,2,159,142,176,117,47,2,21,102,84,12,199,5,.325,612,.407,.511,.918,3,13,.813,6,2755,708,313,100,207,0,7,.359,0.81,0,29.14,119,Los Angeles Dodgers,/api/v1/teams/119,518692,Freddie Freeman,/api/v1/people/518692,Freddie,Freeman,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B
2022,1,3,151,119,127,106,41,0,35,141,79,1,178,5,.317,561,.404,.578,.982,0,7,1.000,7,2701,651,324,115,215,0,4,.368,0.94,2,16.03,138,St. Louis Cardinals,/api/v1/teams/138,502671,Paul Goldschmidt,/api/v1/people/502671,Paul,Goldschmidt,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B
2022,1,4,144,160,174,88,31,1,8,43,50,2,173,3,.316,547,.375,.420,.795,4,4,.500,6,2413,603,230,49,160,0,3,.331,0.92,0,68.38,142,Minnesota Twins,/api/v1/teams/142,650333,Luis Arraez,/api/v1/people/650333,Luis,Arraez,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B
2022,1,5,157,111,112,133,28,0,62,175,111,19,177,6,.311,570,.425,.686,1.111,3,16,.842,14,2906,696,391,131,210,0,5,.340,0.99,4,9.19,147,New York Yankees,/api/v1/teams/147,592450,Aaron Judge,/api/v1/people/592450,Aaron,Judge,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,8,Outfielder,Outfielder,CF
2022,1,6,150,136,139,84,38,0,15,118,57,2,171,10,.307,557,.377,.456,.833,2,8,.800,14,2500,631,254,73,245,0,7,.362,0.98,0,37.13,111,Boston Red Sox,/api/v1/teams/111,593428,Xander Bogaerts,/api/v1/people/593428,Xander,Bogaerts,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,6,Shortstop,Infielder,SS
2022,1,7,135,120,107,95,29,2,37,106,78,9,144,6,.306,470,.406,.613,1.019,1,1,.500,12,2195,561,288,97,215,0,7,.320,1.12,0,12.70,117,Houston Astros,/api/v1/teams/117,670541,Yordan Alvarez,/api/v1/people/670541,Yordan,Alvarez,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,10,Designated Hitter,Hitter,DH
2022,1,8,157,171,141,85,40,0,15,110,62,2,183,12,.304,601,.378,.446,.824,0,0,.---,19,2730,679,268,75,260,0,4,.350,1.21,0,40.07,145,Chicago White Sox,/api/v1/teams/145,547989,José Abreu,/api/v1/people/547989,José,Abreu,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B
2022,2,9,126,114,136,54,23,3,5,77,52,0,140,2,.304,461,.373,.399,.772,3,8,.727,7,1926,521,184,51,175,1,5,.352,0.84,0,92.20,147,New York Yankees,/api/v1/teams/147,643217,Andrew Benintendi,/api/v1/people/643217,Andrew,Benintendi,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,7,Outfielder,Outfielder,LF
2022,1,10,157,151,116,74,26,3,27,147,48,2,179,4,.302,593,.358,.492,.850,2,2,.500,10,2525,645,292,76,219,0,0,.363,1.30,0,21.96,140,Texas Rangers,/api/v1/teams/140,663993,Nathaniel Lowe,/api/v1/people/663993,Nathaniel,Lowe,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B
